,Filename,MAE,Std
0,NHCPy,1.913400814545335,1.6991996529792364
1,PNHC,2.4698490493805902,2.4017012176795274
2,PyOther,2.015073330911621,1.8492832480955503
3,PP,3.216405648170785,2.7468827759484458
4,POther,2.615824890084227,2.4901941308304023
5,NHCNHC,1.8539371986626159,1.6595845243468292
6,NHCOther,2.097054847165006,2.0386517248763063
7,PPy,2.3873142509428606,2.1622709467782046
8,OtherOther,2.4955685771935174,2.138571276750334
9,PyPy,1.7054405991201222,1.854854070474641
