,Trainsize,MAE,Std
0,250,inf,
1,500,7.071515673335139,2.491400439461796
2,1000,4.417379160256803,0.0444442817999325
3,2000,3.9032449334470316,0.08695726186288338
4,2654,3.7149824130438835,0.07564265418667487
