,Filename,MAE,Std
0,NHCPy,2.580290085914665,3.215255593710579
1,PNHC,3.0590909731099396,3.277851606313809
2,PyOther,2.5289244330684832,2.67913299161963
3,PP,3.319926918167991,3.2952271928082753
4,POther,2.7854373092721043,2.6275323759685056
5,NHCNHC,3.566212756825145,4.955287333267418
6,NHCOther,3.1584594930313057,3.8674759905519815
7,PPy,2.3403928979180186,2.225717953295483
8,OtherOther,2.9724935475101497,2.4618197627357583
9,PyPy,1.2920514173198812,1.4573748906142725
