,idx,Predval
0,397,-6.05224609375
1,280,-5.672607421875
2,474,4.30078125
3,97,0.1591796875
4,80,-9.8837890625
5,373,-0.52587890625
6,261,-6.5595703125
7,44,-0.17041015625
8,79,-21.607421875
9,533,0.0
10,399,-12.88671875
11,127,-11.159912109375
12,128,-16.42578125
13,486,-2.03515625
14,160,-2.63671875
15,287,7.94775390625
16,311,2.3701171875
17,166,2.09326171875
18,390,-5.884765625
19,31,-3.3291015625
20,224,13.3408203125
21,545,-6.982421875
22,442,2.9677734375
23,126,2.52587890625
24,481,-0.36767578125
25,450,-0.46337890625
26,33,1.23486328125
27,305,-6.21484375
28,410,4.38330078125
29,199,-15.0625
30,487,-3.29638671875
31,429,1.1162109375
32,29,-6.9111328125
33,358,3.82275390625
34,440,2.16796875
35,229,1.62890625
36,318,4.560546875
37,106,2.43359375
38,133,-6.5615234375
39,267,1.322509765625
40,511,-5.1650390625
41,437,3.3095703125
42,200,-0.79541015625
43,401,-1.349609375
44,473,1.4248046875
45,458,4.6904296875
46,186,4.6025390625
47,356,-6.5888671875
48,54,-0.263671875
49,332,-7.4462890625
50,190,-3.002197265625
51,59,-2.3046875
52,500,-3.3671875
53,457,0.71875
54,497,0.177734375
55,508,1.22900390625
56,395,15.7236328125
57,312,-0.46044921875
58,226,5.14453125
59,154,7.7509765625
60,367,-8.90087890625
61,381,0.0390625
62,167,-0.9814453125
63,281,5.89501953125
64,201,5.24609375
65,192,-1.13134765625
66,203,0.1796875
67,421,4.775390625
68,264,-4.123046875
69,460,-9.223388671875
70,9,3.6728515625
71,139,5.7890625
72,438,1.240234375
73,529,7.408203125
74,88,-1.62646484375
75,145,13.29296875
76,53,1.009765625
77,99,4.701171875
78,322,-4.158203125
79,297,8.431640625
80,493,-3.6591796875
81,405,-0.114501953125
82,385,-15.40234375
83,165,13.73828125
84,443,-2.16162109375
85,70,-0.972412109375
86,196,0.62841796875
87,477,-4.07421875
88,543,3.103515625
89,512,0.31640625
90,270,0.09765625
91,407,-1.73046875
92,315,3.5791015625
93,475,-6.43115234375
94,496,0.5830078125
95,274,-1.7685546875
96,507,4.7080078125
97,78,3.5234375
98,136,-2.02490234375
99,56,-5.9228515625
100,172,-0.79296875
101,492,2.466796875
102,351,-6.77734375
103,122,-0.6982421875
104,352,-2.671875
105,71,12.62060546875
106,465,2.1953125
107,292,12.05078125
108,336,6.5712890625
109,503,-12.4853515625
110,278,-2.076171875
111,364,-8.8876953125
112,230,-6.654296875
113,115,-3.2548828125
114,316,-3.64013671875
115,185,2.5595703125
116,455,-7.05517578125
117,149,11.4453125
118,161,-0.47265625
119,25,0.859375
120,355,1.395751953125
121,61,-2.015625
122,109,10.3583984375
123,357,-4.6591796875
124,250,2.07421875
125,391,6.060546875
126,452,0.2861328125
127,485,7.150390625
128,255,2.76171875
129,409,16.986328125
130,295,-3.1845703125
131,277,-4.76171875
132,526,1.3720703125
133,10,11.777099609375
134,308,8.3671875
135,331,2.97607421875
136,258,-4.039306640625
137,354,-2.865234375
138,220,22.494140625
139,114,8.426513671875
140,538,-10.951171875
141,98,-6.945068359375
142,112,2.796875
143,435,-16.74072265625
144,432,7.10791015625
145,300,1.98046875
146,535,-2.36328125
147,447,10.001953125
148,376,2.078125
149,327,2.81494140625
150,285,-0.5732421875
151,294,0.91748046875
152,286,5.01953125
153,329,0.2314453125
154,32,-4.3642578125
155,341,-4.2177734375
156,63,3.4208984375
157,4,10.57421875
158,188,-1.9462890625
159,259,-10.97998046875
160,514,4.1220703125
161,534,1.43359375
162,430,0.421875
163,48,3.8427734375
164,320,5.09912109375
165,334,4.087890625
166,414,-7.23193359375
167,177,-8.76611328125
168,14,-3.6572265625
169,427,-0.5341796875
170,134,14.125732421875
171,377,-3.2626953125
172,433,-4.20556640625
173,273,-18.0537109375
174,368,4.7529296875
175,449,0.94775390625
176,360,12.242919921875
177,525,-10.33984375
178,279,0.3017578125
179,253,8.571533203125
180,417,-9.22265625
181,2,-0.51513671875
182,289,8.2373046875
183,182,-8.673828125
184,446,-3.57958984375
185,406,11.45361328125
186,151,4.1689453125
187,502,2.171875
188,179,1.958984375
189,284,16.6103515625
190,28,1.521484375
191,380,11.154541015625
192,92,0.67724609375
193,353,-9.7548828125
194,244,-13.27734375
195,393,0.978515625
196,464,12.805419921875
197,64,7.61328125
198,3,-1.790771484375
199,65,-1.81640625
200,404,1.09423828125
201,240,8.69970703125
202,275,15.55078125
203,212,-4.0830078125
204,540,-2.935546875
205,448,13.3837890625
206,116,-3.990234375
207,89,5.3017578125
208,254,-2.1708984375
209,439,1.849609375
210,268,0.41748046875
211,265,2.27734375
212,170,-16.30908203125
213,50,-0.54345703125
214,343,-7.947265625
215,242,-11.22314453125
216,191,-7.3671875
217,90,-3.4033203125
218,498,-3.3662109375
219,328,10.3974609375
220,388,-2.1357421875
221,1,3.583984375
222,476,4.7578125
223,378,11.861328125
224,338,-10.59375
225,451,10.5869140625
226,183,-0.033203125
227,102,-0.716796875
228,180,-13.93994140625
229,400,6.04638671875
230,124,-0.7998046875
231,344,-1.58837890625
232,121,9.84765625
233,246,7.20361328125
234,345,-13.55078125
235,7,-5.0546875
236,58,3.8857421875
237,335,-1.25
238,204,-1.49267578125
239,317,-13.601806640625
240,232,-4.310546875
241,227,-14.794921875
242,416,0.90234375
243,369,6.728759765625
244,30,-2.688720703125
245,73,0.26025390625
246,0,-5.7431640625
247,516,-0.92578125
248,245,-1.0185546875
249,103,-5.1865234375
250,96,-0.6572265625
251,536,-3.1796875
252,412,4.81640625
253,45,11.546875
254,346,1.552734375
255,47,-8.50732421875
256,205,4.207763671875
257,257,0.95263671875
258,478,-9.7705078125
259,141,10.6298828125
260,198,1.107421875
261,472,5.480712890625
262,467,-22.0673828125
263,117,-17.2607421875
264,359,-4.6005859375
265,323,-3.2802734375
266,118,0.10888671875
267,213,-0.482421875
268,222,7.419921875
269,234,-0.5625
270,23,-12.5390625
271,428,-12.1328125
272,542,3.34765625
273,142,4.82080078125
274,491,2.2646484375
275,307,-11.252685546875
276,489,-9.06884765625
277,272,-1.8857421875
278,55,3.655517578125
279,459,-10.6103515625
280,113,-2.60302734375
281,419,-3.63671875
282,37,-2.9052734375
283,143,-6.587890625
284,411,12.013671875
285,140,3.0341796875
286,208,2.46533203125
287,482,-1.0
288,101,-13.06640625
289,5,-3.84326171875
290,541,3.958984375
291,309,5.497802734375
292,361,-0.466796875
293,371,-2.6650390625
294,219,1.76513671875
295,20,-6.4033203125
296,36,-0.0810546875
297,181,8.780517578125
298,521,-5.0625
299,415,-3.653076171875
300,333,0.8681640625
301,387,-3.05078125
302,107,4.5517578125
303,324,-3.398193359375
304,302,18.06884765625
305,35,5.183349609375
306,349,4.7255859375
307,243,0.20703125
308,155,0.4375
309,314,0.08544921875
310,162,-10.58251953125
311,468,-3.0791015625
312,382,0.2353515625
313,83,-3.701171875
314,42,-6.341552734375
315,532,-4.797607421875
316,403,-1.076171875
317,288,13.226806640625
318,298,10.3193359375
319,339,-5.62353515625
320,408,-13.89208984375
321,366,-13.29638671875
322,262,8.92529296875
323,483,2.88916015625
324,330,8.208740234375
325,462,-6.2587890625
326,104,-2.42529296875
327,156,7.86279296875
328,157,-17.6748046875
329,379,-0.6416015625
330,436,7.26025390625
331,11,-3.126953125
332,293,-10.8623046875
333,132,-5.208984375
334,67,1.3095703125
335,454,4.412109375
336,105,12.8759765625
337,299,2.91796875
338,326,-5.204345703125
339,383,-4.6923828125
340,375,-10.380859375
341,504,3.443359375
342,490,5.953369140625
343,527,-16.560546875
344,19,-14.017578125
345,195,-0.39794921875
346,223,6.22412109375
347,146,-7.357421875
348,235,-3.3046875
349,531,-1.7783203125
350,144,7.33984375
